1/7777	巨剑守卫之束带
		
1/10	魔兽徽章	
1/400	英勇雕像	
		
1/1	石南草	
1/1	荆棘藻	
1/3	跌打草	
1/3	野钢花	
1/5	墓地苔	
1/10	皇血草	
1/30	紫莲花	
1/50	太阳草	
1/80	幽灵菇	
1/100	黄金参	
1/200	梦叶草	
1/300	黑莲花	
1/400	火焰花	
1/500	卡德加的胡须	
1/600	阿尔萨斯之泪	
1/800	格罗姆之血	
		
1/1	五转天使之羽
1/1	六转天使之羽
1/3	七转天使之羽
1/3	八转天使之羽
1/5	九转天使之羽
1/10	十转天使之羽
1/30	11转天使之羽
1/50	12转天使之羽
1/80	13转天使之羽
1/100	14转天使之羽
1/200	15转天使之羽
1/300	16转天使之羽
1/400	17转天使之羽
1/500	18转天使之羽
1/600	19转天使之羽
1/800	20转天使之羽

1/100	装备重铸石

#CHILD	1/150	RANDOM
(
1/1	索取之手
1/1	诡秘神格
1/1	唤灵之叶
1/1	血色灵芝
1/1	蓝灵之羽
1/1	致命鬼爪
1/1	协调沙漏
1/1	燃烧雪茄
1/1	魔幻毒菇
1/1	斗转罗盘
1/1	战斗之心
1/1	不明组织
1/1	提线魔偶
1/1	泣血玫瑰
1/1	幻羽之蝶
1/1	猩红之眼
1/1	天山雪莲
1/1	魔蛛毒液
1/1	惊恐头骨
1/1	震慑魔眼
1/1	坚硬龟壳
1/1	太极之源
1/1	辟邪佛手
1/1	护体铜镜
1/1	贪婪之颅
1/1	轻身之羽
1/1	寒月血葵
1/1	紫魔符石
1/1	缚魔之束
1/1	污浊之月
1/1	魔化狼牙
1/1	先手之石
1/1	碎冰之石
1/1	暗夜魔蝠
1/1	幻魔之眼
1/1	神圣之书
1/1	守护之轮
1/1	警醒之铃
1/1	天使护佑
1/1	不法之徒
1/1	守护之火
1/1	庇护之火
1/1	无尽怒火
1/1	神圣之火
1/1	诡秘之火
1/1	异抗宝石
1/1	异穿宝石
1/1	攻击宝石
1/1	道术宝石
1/1	魔法宝石
1/1	防御宝石
1/1	魔御宝石
1/1	生命宝石
1/1	法力宝石
1/1	恢复宝石
1/1	自然宝石
1/1	亲和宝石
1/1	守护宝石
1/1	火焰宝石
1/1	冰冷宝石
1/1	毒素宝石
1/1	闪电宝石
1/1	火抗宝石
1/1	冰抗宝石
1/1	毒抗宝石
1/1	电抗宝石
1/1	反弹宝石
1/1	吸血宝石
1/1	吸蓝宝石
1/1	祝福宝石
1/1	勇猛宝石
1/1	速度宝石
1/1	生存宝石
1/1	除魔宝石
1/1	杀手宝石
)	
		
#CHILD	1/5	RANDOM
(		
1/1	灵魂宝石	
1/1	魔幻宝石	
1/1	白骨之魂	
1/1	遗忘之魂	
1/1	惊悚之心	
1/1	炽烈硫磺	
)		
		
		
#CHILD	1/30	RANDOM
(		
1/1	灵魂宝石	
1/1	魔幻宝石	
1/1	白骨之魂	
1/1	遗忘之魂	
1/1	惊悚之心	
1/1	炽烈硫磺	
)		
		
#CHILD	1/1	RANDOM
(		
1/1	灵魂宝石	
1/1	魔幻宝石	
1/1	白骨之魂	
1/1	遗忘之魂	
1/1	惊悚之心	
1/1	炽烈硫磺	
)		
		
1/1	5000银币	
		
		
1/20	5000银币	
		
1/9600	骑兵	
1/4800	牧师	
1/2400	女巫	
1/1200	矮人火枪手	
1/600	步兵	
1/300	农民	
		
1/300	骷髅战士	
1/600	骷髅将军	
1/1200	亡灵骑士	
1/2400	骷髅魔法师	
1/4800	亡灵巫师	
1/9600	女妖	
		
1/300	半精灵	
1/600	精灵	
1/1200	黑精灵	
1/2400	暗夜精灵	
1/4800	血精灵	
1/9600	光之精灵	
		
		
		
#CHILD	1/1	RANDOM
(		
1/1	自然之翼	
1/1	擎天战甲	
1/1	荒原头盔	
1/1	庇护之链	
1/1	迦兰护腕	
1/1	寒冰之印	
1/1	丛林缠腰	
1/1	贤者岁月靴	
)		
		
#CHILD	1/5	RANDOM
(		
1/1	自然之翼	
1/1	擎天战甲	
1/1	荒原头盔	
1/1	庇护之链	
1/1	迦兰护腕	
1/1	寒冰之印	
1/1	丛林缠腰	
1/1	贤者岁月靴	
)		
		
#CHILD	1/10	RANDOM
(		
1/1	生铁链槌	
1/1	燃火外套	
1/1	血腥面罩	
1/1	信仰之源	
1/1	缚龙者	
1/1	混沌之环	
1/1	赫布拉斯的缠腰	
1/1	亚拉基尔的步伐	
)		
		
		
#CHILD	1/20	RANDOM
(		
1/1	生铁链槌	
1/1	燃火外套	
1/1	血腥面罩	
1/1	信仰之源	
1/1	缚龙者	
1/1	混沌之环	
