1/555	黄金地狱犬齿
		
1/1	1000银币	
1/1	1000银币	
1/1	1000银币	
1/5	1000银币	
		
1/2000	骑兵	
1/1500	牧师	
1/1000	女巫	
1/600	矮人火枪手	
1/450	步兵	
1/250	农民	
		
1/250	骷髅战士	
1/450	骷髅将军	
1/600	亡灵骑士	
1/1000	骷髅魔法师	
1/1500	亡灵巫师	
1/2000	女妖	
		
1/250	半精灵	
1/450	精灵	
1/600	黑精灵	
1/1000	暗夜精灵	
1/1500	血精灵	
1/2000	光之精灵	
		
		
		
1/1	银叶草	
1/3	地根草	
1/6	魔皇草	
1/10	石南草	
1/20	荆棘藻	
1/40	跌打草	
1/60	野钢花	
1/100	墓地苔	
1/140	皇血草	
1/180	紫莲花	
1/220	太阳草	
1/300	幽灵菇	

1/100	装备重铸石

#CHILD	1/150	RANDOM
(
1/1	索取之手
1/1	诡秘神格
1/1	唤灵之叶
1/1	血色灵芝
1/1	蓝灵之羽
1/1	致命鬼爪
1/1	协调沙漏
1/1	燃烧雪茄
1/1	魔幻毒菇
1/1	斗转罗盘
1/1	战斗之心
1/1	不明组织
1/1	提线魔偶
1/1	泣血玫瑰
1/1	幻羽之蝶
1/1	猩红之眼
1/1	天山雪莲
1/1	魔蛛毒液
1/1	惊恐头骨
1/1	震慑魔眼
1/1	坚硬龟壳
1/1	太极之源
1/1	辟邪佛手
1/1	护体铜镜
1/1	贪婪之颅
1/1	轻身之羽
1/1	寒月血葵
1/1	紫魔符石
1/1	缚魔之束
1/1	污浊之月
1/1	魔化狼牙
1/1	先手之石
1/1	碎冰之石
1/1	暗夜魔蝠
1/1	幻魔之眼
1/1	神圣之书
1/1	守护之轮
1/1	警醒之铃
1/1	天使护佑
1/1	不法之徒
1/1	守护之火
1/1	庇护之火
1/1	无尽怒火
1/1	神圣之火
1/1	诡秘之火
1/1	异抗宝石
1/1	异穿宝石
1/1	攻击宝石
1/1	道术宝石
1/1	魔法宝石
1/1	防御宝石
1/1	魔御宝石
1/1	生命宝石
1/1	法力宝石
1/1	恢复宝石
1/1	自然宝石
1/1	亲和宝石
1/1	守护宝石
1/1	火焰宝石
1/1	冰冷宝石
1/1	毒素宝石
1/1	闪电宝石
1/1	火抗宝石
1/1	冰抗宝石
1/1	毒抗宝石
1/1	电抗宝石
1/1	反弹宝石
1/1	吸血宝石
1/1	吸蓝宝石
1/1	祝福宝石
1/1	勇猛宝石
1/1	速度宝石
1/1	生存宝石
1/1	除魔宝石
1/1	杀手宝石
)	
		
		
		
#CHILD	1/1	RANDOM
(		
1/1	诡异断肢	
1/1	星界锁甲	
1/1	共鸣之颅	
1/1	聚魂项链	
1/1	霜火腕轮	
1/1	血誓戒指	
1/1	德尔的耻辱	
1/1	艾席拉的足迹	
)		
		
#CHILD	1/3	RANDOM
(		
1/1	奇形獠牙	
1/1	神圣铠甲	
1/1	死亡先知兜帽	
1/1	怨恨项坠	
1/1	极光护腕	
1/1	神木指环	
1/1	失踪者的绑腰	
1/1	黑棘的马刺靴	
)		
		
#CHILD	1/5	RANDOM
(		
1/1	剥皮短刀	
1/1	守护者的荣耀	
1/1	征服者军帽	
1/1	救赎之链	
1/1	信仰腕轮	
1/1	双玉戒指(火冰)	
1/1	奴隶束缚	
1/1	祖尼玛萨之途	
)		
		
#CHILD	1/10	RANDOM
(		
1/1	剥皮短刀	
1/1	守护者的荣耀	
1/1	征服者军帽	
1/1	救赎之链	
1/1	信仰腕轮	
1/1	双玉戒指(火冰)	
1/1	奴隶束缚	
1/1	祖尼玛萨之途	
)		
		
#CHILD	1/20	RANDOM
(		
1/1	自然之翼	
1/1	擎天战甲	
1/1	荒原头盔	
1/1	庇护之链	
1/1	迦兰护腕	
1/1	寒冰之印	
1/1	丛林缠腰	
1/1	贤者岁月靴	
)		
		
#CHILD	1/40	RANDOM
(		
1/1	生铁链槌	
1/1	燃火外套	
1/1	血腥面罩	
1/1	信仰之源	
1/1	缚龙者	
1/1	混沌之环	
1/1	赫布拉斯的缠腰	
1/1	亚拉基尔的步伐	
)		
		
		
#CHILD	1/60	RANDOM
(		
1/1	血心链槌	
1/1	血歌锁甲	
1/1	地狱恐面	
1/1	暴戾的咒火	
1/1	浸血齿轮	
1/1	亡者哀伤	
1/1	附魂腰带	
1/1	炎魔之蹄	
)		
		
#CHILD	1/120	RANDOM
(		
1/1	大地链槌	
1/1	黑棘战袍	
1/1	月影之面	
1/1	暴戾的熔岩	
1/1	元素师手镯	
1/1	暗影紫玉戒指	
1/1	破浪护腰	
1/1	星界护胫	
)		
		
#CHILD	1/160	RANDOM
(		
1/1	骨翼链槌	
1/1	亡魂战袍	
1/1	君王面甲	
1/1	撕裂者之力	
1/1	斥候的魔法手镯	
1/1	飓风戒指	
1/1	哈林顿的护腰	
1/1	命运阔步靴	
)		
		
#CHILD	1/320	RANDOM
(		
1/1	冰雪裂缝	
1/1	魅影披肩	
1/1	瓦尔之首	
1/1	上古智慧	
1/1	眩光魔法手镯	
1/1	伏魔环	
1/1	凶暴食人魔腰带	
1/1	御法者护胫	
)		
		
		
#CHILD	1/480	RANDOM
(		
1/1	血眸之锤	
1/1	邪灵披肩	
1/1	拉基斯守护头盔	
1/1	痛苦诅咒	
1/1	泰坦冲锋手镯	
1/1	奥维德戒指	
1/1	巫师的腰带	
1/1	血之结界长靴	
)		
		
		
#CHILD	1/700	RANDOM
(		
1/1	艾瑞达战锤	
1/1	永恒战甲	
1/1	御法者之冠	
1/1	泯灭之心	
1/1	巨人追猎者护腕	
1/1	风蚀	
1/1	乌克塔的响环腰带	
1/1	秩序之源战靴	
)		
		
		
		
1/1000	响骨印记	
1/1000	瑰宝印记	
1/1000	失时印记	
1/1000	刺脊印记	
1/1000	毒蟾印记	
1/1000	怨魂印记	
1/1000	巨塔印记	
1/1000	隆冬印记	
1/1000	灵界印记	
1/1000	愈体印记	
1/1000	魅魂印记	
1/1000	噬咬印记	
		
1/2000	血肉魂石	
1/2000	振奋魂石	
1/2000	信仰魂石	
1/2000	庇佑魂石	
1/2000	狂暴魂石	
1/2000	剑盾魂石	
1/2000	杀意魂石	
1/2000	钢铁魂石	
1/2000	罪孽魂石	
1/2000	逐破魂石	
1/2000	鲜血魂石	
1/2000	灵境魂石	
		
1/4000	真言圣物	
1/4000	坚毅圣物	
1/4000	统御圣物	
1/4000	欺瞒圣物	
1/4000	死亡圣物	
1/4000	祭血圣物	
1/4000	奥能圣物	
1/4000	幻法圣物	
1/4000	星辰圣物	
1/4000	烧焚圣物	
1/4000	无畏圣物	
1/4000	恶惧圣物	
		
		
1/9999	先知魔饰	
1/9999	占卜魔饰	
1/9999	君王魔饰	
1/9999	升化魔饰	
1/9999	光辉魔饰	
1/9999	永恒魔饰	
1/9999	圣者魔饰	
1/9999	奇筋魔饰	
1/9999	劲灵魔饰	
1/9999	韵律魔饰	
1/9999	神秘魔饰	
1/9999	狂猛魔饰	
		
		
		
		
		
		
		
		
		
		
1/50	刀脊徽记	
1/100	追重者徽记	
1/200	神圣徽记	
1/300	烟熏香炉	
1/400	先知之手	
1/600	魔电涌器	
1/800	变形镜	
1/1000	骷髅钥匙	
1/1500	邪恶拆信刀	
1/2000	蝎尾刺	
		
1/50	守护披风	
1/100	恐惧披风	
1/200	追踪者斗篷	
1/300	死亡之拥	
1/400	暗夜斗篷	
1/600	远行者的召唤	
1/800	沃玛之皮	
1/1000	黑羽	
1/1500	幻影斗篷	
1/2000	亡者拥抱	
		
1/50	复仇之石	
1/100	羚砂囊	
1/200	侍从勾玉	
1/300	闪电华冠	
1/400	皇家宝石	
1/600	自在宝石	
1/800	困者之祸	
1/1000	强者之力	
1/1500	梦之遗礼	
1/2000	祖玛头像	
		
1/50	贪婪坠匣	
1/100	圣灯	
1/200	时光流韵	
1/300	轮回之蛇	
1/400	不散阴魂	
1/600	先人庇佑	
1/800	勋爵雕饰	
1/1000	妄念	
1/1500	兵要护符	
1/2000	吸魂镜	
		
1/50	悲伤仪容	
1/100	邪恶虫巢	
1/200	观死	
1/300	铜头蛇	
1/400	祖玛之视	
1/600	巨型星团	
1/800	杀戮之面	
1/1000	勘察之面	
1/1500	催眠魔眼	
1/2000	极惧之眠	
		
1/50	风暴之盾	
1/100	狼牙刺盾	
1/200	神圣壁障	
1/300	霸者坎盾	
1/400	坚毅之塔	
1/600	威能鸢盾	
1/800	巨人魔盾	
1/1000	刚劲之塔	
1/1500	和谐魔垒	
1/2000	祭者之垒	
