1/25000	★★★狄亚鬼戒
1/3	魔兽徽章	
1/3	魔兽徽章	
1/200	英勇雕像	

1/10	装备重铸石
1/30	试炼卷轴

#CHILD	1/30	RANDOM
(
1/1	索取之手
1/1	诡秘神格
1/1	唤灵之叶
1/1	血色灵芝
1/1	蓝灵之羽
1/1	致命鬼爪
1/1	协调沙漏
1/1	燃烧雪茄
1/1	魔幻毒菇
1/1	斗转罗盘
1/1	战斗之心
1/1	不明组织
1/1	提线魔偶
1/1	泣血玫瑰
1/1	幻羽之蝶
1/1	猩红之眼
1/1	天山雪莲
1/1	魔蛛毒液
1/1	惊恐头骨
1/1	震慑魔眼
1/1	坚硬龟壳
1/1	太极之源
1/1	辟邪佛手
1/1	护体铜镜
1/1	贪婪之颅
1/1	轻身之羽
1/1	寒月血葵
1/1	紫魔符石
1/1	缚魔之束
1/1	污浊之月
1/1	魔化狼牙
1/1	先手之石
1/1	碎冰之石
1/1	暗夜魔蝠
1/1	幻魔之眼
1/1	神圣之书
1/1	守护之轮
1/1	警醒之铃
1/1	天使护佑
1/1	不法之徒
1/1	守护之火
1/1	庇护之火
1/1	无尽怒火
1/1	神圣之火
1/1	诡秘之火
1/1	异抗宝石
1/1	异穿宝石
1/1	攻击宝石
1/1	道术宝石
1/1	魔法宝石
1/1	防御宝石
1/1	魔御宝石
1/1	生命宝石
1/1	法力宝石
1/1	恢复宝石
1/1	自然宝石
1/1	亲和宝石
1/1	守护宝石
1/1	火焰宝石
1/1	冰冷宝石
1/1	毒素宝石
1/1	闪电宝石
1/1	火抗宝石
1/1	冰抗宝石
1/1	毒抗宝石
1/1	电抗宝石
1/1	反弹宝石
1/1	吸血宝石
1/1	吸蓝宝石
1/1	祝福宝石
1/1	勇猛宝石
1/1	速度宝石
1/1	生存宝石
1/1	除魔宝石
1/1	杀手宝石
)
		
#CHILD	1/3	RANDOM
(		
1/1	灵魂宝石	
1/1	魔幻宝石	
1/1	白骨之魂	
1/1	遗忘之魂	
1/1	惊悚之心	
1/1	炽烈硫磺	
)		
		
#CHILD	1/3	RANDOM
(		
1/1	灵魂宝石	
1/1	魔幻宝石	
1/1	白骨之魂	
1/1	遗忘之魂	
1/1	惊悚之心	
1/1	炽烈硫磺	
)		
		
		
#CHILD	1/1	RANDOM
(		
1/1	灵魂宝石	
1/1	魔幻宝石	
1/1	白骨之魂	
1/1	遗忘之魂	
1/1	惊悚之心	
1/1	炽烈硫磺	
)		
		
		
#CHILD	1/1	RANDOM
(		
1/1	灵魂宝石	
1/1	魔幻宝石	
1/1	白骨之魂	
1/1	遗忘之魂	
1/1	惊悚之心	
1/1	炽烈硫磺	
)		
1/1	1000银币	
1/1	5000银币	
1/1	5000银币	
1/1	1000银币	
1/1	1000银币
1/1	1000银币
1/1	1000银币
1/50	5000银币	
		
1/4800	骑兵	
1/2400	牧师	
1/1200	女巫	
1/600	矮人火枪手	
1/300	步兵	
1/150	农民	
		
1/150	骷髅战士	
1/300	骷髅将军	
1/600	亡灵骑士	
1/1200	骷髅魔法师	
1/2400	亡灵巫师	
1/4800	女妖	
		
1/150	半精灵	
1/300	精灵	
1/600	黑精灵	
1/1200	暗夜精灵	
1/2400	血精灵	
1/4800	光之精灵	
		
		
#CHILD	1/1	RANDOM
(		
1/1	大地链槌	
1/1	黑棘战袍	
1/1	月影之面	
1/1	暴戾的熔岩	
1/1	元素师手镯	
1/1	暗影紫玉戒指	
1/1	破浪护腰	
1/1	星界护胫	
)		
		
		
#CHILD	1/1	RANDOM
(		
1/1	大地链槌	
1/1	黑棘战袍	
1/1	月影之面	
1/1	暴戾的熔岩	
1/1	元素师手镯	
1/1	暗影紫玉戒指	
1/1	破浪护腰	
1/1	星界护胫	
)		
		
		
		
#CHILD	1/3	RANDOM
(		
1/1	骨翼链槌	
1/1	亡魂战袍	
1/1	君王面甲	
1/1	撕裂者之力	
1/1	斥候的魔法手镯	
1/1	飓风戒指	
1/1	哈林顿的护腰	
1/1	命运阔步靴	
)		
		
		
#CHILD	1/10	RANDOM
(		
1/1	骨翼链槌	
1/1	亡魂战袍	
1/1	君王面甲	
1/1	撕裂者之力	
1/1	斥候的魔法手镯	
1/1	飓风戒指	
1/1	哈林顿的护腰	
1/1	命运阔步靴	
)		
		
#CHILD	1/20	RANDOM
(		
1/1	冰雪裂缝	
1/1	魅影披肩	
1/1	瓦尔之首	
1/1	上古智慧	
1/1	眩光魔法手镯	
1/1	伏魔环	
1/1	凶暴食人魔腰带	
1/1	御法者护胫	
)		
		
		
#CHILD	1/40	RANDOM
(		
1/1	血眸之锤	
1/1	邪灵披肩	
1/1	拉基斯守护头盔	
1/1	痛苦诅咒	
1/1	泰坦冲锋手镯	
1/1	奥维德戒指	
1/1	巫师的腰带	
1/1	血之结界长靴	
)		
		
#CHILD	1/80	RANDOM
(		
1/1	血眸之锤	
1/1	邪灵披肩	
1/1	拉基斯守护头盔	
1/1	痛苦诅咒	
1/1	泰坦冲锋手镯	
1/1	奥维德戒指	
1/1	巫师的腰带	
1/1	血之结界长靴	
)		
		
#CHILD	1/160	RANDOM
(		
1/1	艾瑞达战锤	
1/1	永恒战甲	
1/1	御法者之冠	
1/1	泯灭之心	
1/1	巨人追猎者护腕	
1/1	风蚀	
1/1	乌克塔的响环腰带	
1/1	秩序之源战靴	
)		
		
		
#CHILD	1/320	RANDOM
(		
1/1	协调长锤	
1/1	权贵环甲	
1/1	梦魇	
1/1	坠落星辰碎片	
1/1	斯基尔的沁血	
1/1	忠诚徽记之戒	
1/1	苏塔恩之环	
1/1	熔岩犬皮靴	
)		
		
#CHILD	1/320	RANDOM
(		
1/1	织魔短剑	
1/1	聚魂斗篷	
1/1	雾隐	
1/1	极光坠饰	
1/1	巴赫里克的手镯	
1/1	卡库那之戒	
1/1	虔诚者	
1/1	复仇者的胫甲	
)		
		
#CHILD	1/320	RANDOM
(		
1/1	魔鬼之刺	
1/1	怨恨斗篷	
1/1	骄矜必败	
1/1	凯帕之光	
1/1	愤怒之心	
1/1	奇亚尼尔之戒	
1/1	霍尔的祝福	
1/1	林格的暴风雪长靴	
)		
		
#CHILD	1/2050	RANDOM
(		
1/1	银羽权杖	
1/1	死疫裹袍	
1/1	破碎的王冠	
1/1	格拉斯的项圈	
1/1	复仇者护腕	
1/1	拉格纳罗斯之核	
1/1	无尽痛苦腰带	
1/1	裂谷行者	
)		
		
#CHILD	1/2050	RANDOM
(		
1/1	黑雾长杖	
1/1	泰瑞尔之力	
1/1	皇冠	
1/1	寒霜之触	
1/1	加百利的护臂	
1/1	阿祖拉的意志	
1/1	赞达拉预言者腰带	
1/1	救赎预言长靴	
)		
		
#CHILD	1/2050	RANDOM
(		
1/1	血牙之击	
1/1	血色之衣	
1/1	不死王冠	
1/1	屠龙者的吊坠	
1/1	赞达拉思考者护臂	
1/1	风暴召唤者之怒	
1/1	沃什加斯的绳索	
1/1	神谕者的裹足	
)		
		
#CHILD	1/2050	RANDOM
(		
1/1	堕落权柄	
1/1	不死鸟的胸骨	
1/1	命运之誓	
1/1	堕落神明坠饰	
1/1	嗜血怒涛兽的护腕	
1/1	拉图拉图之戒	
1/1	无尽风暴の腰	
1/1	不死鸟之足	
)		
		
1/1500	先知魔饰	
1/1500	占卜魔饰	
1/1500	君王魔饰	
