1/40 йчмУ+1
1/80 йчмУ+2
1/160 йчмУ+3
1/320 йчмУ+4
1/480 йчмУ+5

1/8 ╬╚лЗйч╧з
1/16 гЮм╜йч╧з
1/32 ╟врЬйч╧з
1/64 ╩ф╫Пйч╧з
1/128 пЧ╠Ыйч╧з
1/256 вф╩Пйч╧з
1/400 гЮз╓йч╧з
1/560 воЙвйч╧з
1/720 дФашйч╧з
1/8 ╬╚лЗйч╪в
1/16 гЮм╜йч╪в
1/32 ╟врЬйч╪в
1/64 ╩ф╫Пйч╪в
1/128 пЧ╠Ыйч╪в
1/256 вф╩Пйч╪в
1/400 гЮз╓йч╪в
1/560 воЙвйч╪в
1/720 дФашйч╪в
1/8 ╬╚лЗйча╢
1/16 гЮм╜йча╢
1/32 ╟врЬйча╢
1/64 ╩ф╫Пйча╢
1/128 пЧ╠Ыйча╢
1/256 вф╩Пйча╢
1/400 гЮз╓йча╢
1/560 воЙвйча╢
1/720 дФашйча╢

1/1 йчмУ╥ШжД
1/1 йчмУ╥ШжД
1/1 йчмУ╥ШжД
1/1 йчмУ╥ШжД
1/1 йчмУ╥ШжД
